legacy_table,module_id,prisma_model,mapping_status,notes
AbsBasicUnit,M11,,missing,
AbsGeneralItemDetails,M11,,missing,
AbsGeneralItemDetailsValues,M11,,missing,
AbsGeneralItems,M11,,missing,
AbsGeneralItemsValues,M11,,missing,
AbsProjectD1,M11,,missing,
AbsProjectD2,M11,,missing,
AbsProjectD3,M11,,missing,
AbsProjectD4,M11,,missing,
AbsProjectD5,M11,,missing,
AbsProjectH,M11,Project,mapped,
Account,M1,Account,mapped,
AccountCardDist,M1,,missing,
AccountTemp1,M-UNASSIGNED,,missing,
AccountTemp2,M-UNASSIGNED,,missing,
ActionsHistory,M0,,missing,
AdvancedRights,M0,UserAdvancedPermission,mapped,
Alarms,M-UNASSIGNED,,missing,
AllWarehousingTrans,M4,,missing,
AllWarehousingTrans1,M4,,missing,
ArchiveFiles,M20,,missing,
ArchiveFilesData,M20,,missing,
ArchiveFolders,M20,,missing,
AuditD,M17,,missing,
AuditH,M17,,missing,
BalanceAccountsD,M1,,missing,
BalanceAccountsH,M1,,missing,
BankBoxRights,M2,,missing,
BLChannel,M12,,missing,
BLCustomer,M12,,missing,
BLCustomerFollow,M12,,missing,
BLCustomerView,M12,,missing,
BLEmployee,M12,,missing,
BLSetting,M12,,missing,
BLUnitForSalesD1,M12,,missing,
BLUnitForSalesD2,M12,,missing,
BLUnitForSalesH,M12,,missing,
BLUnitSalesD2,M12,,missing,
BLUnitToOthers,M12,,missing,
Branch,M0,Branch,mapped,
CarBrand,M19,,missing,
CarContractD,M19,,missing,
CarContractH,M19,,missing,
CarCustomerD,M19,,missing,
CarCustomerH,M19,,missing,
CarDef,M19,,missing,
CarHiddenScreen,M19,,missing,
CarInsurance,M19,,missing,
CarLisence,M19,,missing,
CarMaintenanceSetting,M19,,missing,
CarModel,M19,,missing,
CarOrder,M19,,missing,
CarTechnical,M19,,missing,
CarTrace,M19,,missing,
CashTrxDetail,M2,,missing_detail_pattern,
CashTrxHeader,M2,,missing_header_pattern,
CashTrxotherDetail,M2,,missing_detail_pattern,
CCTransVio,M-UNASSIGNED,,missing,
City,M-UNASSIGNED,City,mapped,
CKTrxDetail,M2,,missing_detail_pattern,
CKTrxDetailSub,M2,,missing,
Color,M4,,missing,
Company,M0,Company,mapped,
CompanySetting,M0,CompanySettings,mapped,legacy plural CompanySetting vs CompanySettings
Contractor,M11,Contractor,mapped,
ContractorsDailyD,M11,,missing,
ContractorsDailyH,M11,,missing,
ContractorsPaymentD,M11,,missing,
ContractorsPaymentH,M11,,missing,
ContractorsStatementsD1,M11,,missing,
ContractorsStatementsD2,M11,,missing,
ContractorsStatementsD3,M11,,missing,
ContractorsStatementsH,M11,,missing,
CostCenter,M1,CostCenter,mapped,
Countries,M-UNASSIGNED,,missing,
Country,M-UNASSIGNED,,missing,
Currency,M-UNASSIGNED,Currency,mapped,
CurrencyHistory,M-UNASSIGNED,Currency,mapped,
Customer,M3,Customer,mapped,
Customer1,M3,,missing,
CustomerCategory,M3,,missing,
Cycle1D,M-UNASSIGNED,,missing,
Cycle1H,M-UNASSIGNED,,missing,
Cycle2D,M-UNASSIGNED,,missing,
Cycle2H,M-UNASSIGNED,,missing,
Daman,M23,,missing,
DamanSetting,M23,,missing,
Damantype,M23,,missing,
DamanUpdate,M23,,missing,
DaribaAccounts,M7,,missing,
DaribaAlarms,M7,,missing,
DaribaCustom,M7,,missing,
DaribaCustomPercent,M7,,missing,
DaribaCustomUse,M7,,missing,
DaribaMabiat,M7,,missing,
DaribaMabiatPaid,M7,,missing,
DaribaMamoria,M7,,missing,
DaribaPercent,M7,,missing,
DaribaPeriods,M7,,missing,
DaribaSadad,M7,,missing,
Dead1D,M-UNASSIGNED,,missing,
Dead1H,M-UNASSIGNED,,missing,
Dead2D,M-UNASSIGNED,,missing,
Dead2H,M-UNASSIGNED,,missing,
DealTypes,M-UNASSIGNED,,missing,
Display,M18,,missing,
DisplayDownloads,M18,,missing,
DisplayExamine,M18,,missing,
DisplayMarquee,M18,,missing,
DisplayMessages,M18,,missing,
DisplayProgress,M18,,missing,
DisplaySettings,M18,,missing,
